NS,MEANY,SDY,LOWERY,UPPERY,MODEL
0,0,0,0,0,AC
1,0.242,0.132038271963692,0.18020418652220077,0.30379581347779927,AC
2,0.336,0.12085310787981633,0.27943900445162523,0.39256099554837476,AC
3,0.36119999999999997,0.1308762372384086,0.2999480355143936,0.42245196448560635,AC
4,0.38880000000000003,0.14547548174683486,0.3207153787616032,0.4568846212383968,AC
5,0.4466,0.11654879258332786,0.3920534860201555,0.5011465139798446,AC
6,0.5026,0.11004515819473959,0.4510972806081028,0.5541027193918973,AC
7,0.5542,0.13647887825786933,0.49032591880328685,0.6180740811967133,AC
8,0.6246,0.11706066803158097,0.5698139209360804,0.6793860790639197,AC
9,0.6012000000000001,0.12159709137795587,0.5442908094563572,0.6581091905436428,AC
10,0.7168,0.16925645443651785,0.6375855409441529,0.796014459055847,AC
10,0.6316,0.07645734965187762,0.5958168588862363,0.6673831411137638,AC
20,0.8892,0.11667751328025103,0.834593242879591,0.9438067571204091,AC
30,0.9728,0.05386298406727555,0.9475913474837484,0.9980086525162515,AC
40,1,0,1,1,AC
50,1,0,1,1,AC
60,1,0,1,1,AC
70,1,0,1,1,AC
80,1,0,1,1,AC
90,1,0,1,1,AC
100,1,0,1,1,AC
110,1,0,1,1,AC
120,1,0,1,1,AC
130,1,0,1,1,AC
140,1,0,1,1,AC
150,1,0,1,1,AC
160,1,0,1,1,AC
170,1,0,1,1,AC
180,1,0,1,1,AC
190,1,0,1,1,AC
200,1,0,1,1,AC
210,1,0,1,1,AC
220,1,0,1,1,AC
230,1,0,1,1,AC
240,1,0,1,1,AC
250,1,0,1,1,AC
10,3e-4,9.787209698591858e-4,-1.5805551375937499e-4,7.58055513759375e-4,AM
20,0.0029,0.0025526044491233284,0.001705344343918699,0.0040946556560813,AM
30,0.005,0.004230217115244236,0.003020197447781584,0.006979802552218416,AM
40,0.0089,0.00508765275213588,0.006518905217138455,0.011281094782861547,AM
50,0.016800000000000002,0.005287522551899151,0.014325363271440981,0.01927463672855902,AM
60,0.026199999999999998,0.006420362344259002,0.023195177928450817,0.02920482207154918,AM
70,0.0507,0.018413667692633556,0.042082138244818455,0.059317861755181556,AM
80,0.4151,0.38897948802637794,0.2330519958018105,0.5971480041981896,AM
90,0.9997,0.0013416407864998744,0.9990720927836776,1.0003279072163225,AM
100,1,0,1,1,AM
110,1,0,1,1,AM
120,1,0,1,1,AM
130,1,0,1,1,AM
140,1,0,1,1,AM
150,1,0,1,1,AM
160,1,0,1,1,AM
170,1,0,1,1,AM
180,1,0,1,1,AM
190,1,0,1,1,AM
200,1,0,1,1,AM
210,1,0,1,1,AM
220,1,0,1,1,AM
230,1,0,1,1,AM
240,1,0,1,1,AM
250,1,0,1,1,AM
10,0.0019,0.00199736668746891,9.652036153613166e-4,0.0028347963846386834,BAM
20,0.0044,0.003283130726672493,0.002863447521757374,0.005936552478242626,BAM
30,0.0116,0.006277780365367163,0.00866190834866806,0.01453809165133194,BAM
40,0.0202,0.008894705699104619,0.01603714959195367,0.024362850408046328,BAM
50,0.040299999999999996,0.01811396669627291,0.031822402628733634,0.04877759737126636,BAM
60,0.1181,0.0691618239691294,0.08573127000816892,0.15046872999183108,BAM
70,0.407,0.32335445762067033,0.25566545545342684,0.5583345445465732,BAM
80,0.9057000000000001,0.1534779600155225,0.8338701036447951,0.9775298963552049,BAM
90,0.9982105263157894,0.005028573327257179,0.9958570815548942,1.0005639710766847,BAM
100,1,0,1,1,BAM
110,1,0,1,1,BAM
120,1,0,1,1,BAM
130,1,0,1,1,BAM
140,1,0,1,1,BAM
150,1,0,1,1,BAM
160,1,0,1,1,BAM
170,1,0,1,1,BAM
180,1,0,1,1,BAM
190,1,0,1,1,BAM
200,1,0,1,1,BAM
210,1,0,1,1,BAM
220,1,0,1,1,BAM
230,1,0,1,1,BAM
240,1,0,1,1,BAM
250,1,0,1,1,BAM
